id,domain,category,rule,rationale,priority,applies_to,tags
ir-ht-008,hotel-travel,colors,Use warm color palette (orange/amber/gold) as primary to create hospitality atmosphere,Warm colors evoke comfort and invitation; appropriate for hotel and travel brand experiences,recommended,colors styles,warm palette orange amber hospitality
ir-ht-009,hotel-travel,data-display,Room cards must display hero image; price; rating; and key amenities at minimum,Travelers make quick decisions based on visual appeal and essential information; missing data slows decision-making,recommended,components patterns,room card image price rating amenity
ir-ht-010,hotel-travel,interaction,Date pickers must show pricing per night inline and highlight best-value dates,Flexible travelers appreciate seeing prices across dates to find the best deal without navigating away,recommended,components patterns,datepicker price inline calendar value
ir-ht-011,hotel-travel,data-display,Display guest reviews with star ratings and verified-stay badges,Social proof through reviews is the most influential factor in hotel booking decisions,recommended,components patterns,review rating stars verified social-proof
ir-ht-012,hotel-travel,layout,Use large; high-quality images throughout the booking experience,Visual content is the primary decision driver for travel; low-quality images reduce conversion rates,recommended,styles components,image high-quality visual large photo
ir-ht-013,hotel-travel,forms,Support autofill for returning guest information in booking forms,Returning guests should have a faster booking experience; auto-fill reduces friction and increases loyalty,recommended,components patterns,autofill form returning guest loyalty
ir-ht-014,hotel-travel,navigation,Provide clear cancellation policy information before payment step,Transparent cancellation policies build trust and reduce post-booking support requests,recommended,components patterns,cancellation policy transparent trust
ir-ht-015,hotel-travel,data-display,Show seasonal theme variations in color accents and imagery,Seasonal theming creates freshness and relevance; encouraging repeat visits to the booking platform,optional,colors styles,seasonal theme variation accent
ir-ht-016,hotel-travel,layout,Implement sticky booking summary on scroll for desktop booking flows,A persistent summary prevents users from losing track of their selection during long booking forms,optional,components styles,sticky summary booking scroll desktop
ir-ht-017,hotel-travel,interaction,Offer room comparison feature for indecisive travelers (max 3-4 rooms),Comparison tools help travelers make confident decisions by seeing features side-by-side,optional,components patterns,comparison room feature side-by-side
