id,domain,category,component_name,variant,use_case,props_config,companion_components,description,tags
cmp-b2b-021,b2b-admin,data-display,UserAvatar,default,"User avatar with fallback initials and online indicator","{ ""name"": ""string"", ""src"": ""string"", ""online"": ""boolean"", ""size"": ""sm|md|lg"" }",Avatar,User profile avatar with initials fallback and status dot,avatar user profile online initials
cmp-b2b-022,b2b-admin,actions,ExportButton,default,"Data export button with format selection","{ ""formats"": ""csv|xlsx|pdf"", ""onExport"": ""function"" }","Button, DropdownMenu",Export button with dropdown for format selection,export download csv xlsx pdf
cmp-b2b-023,b2b-admin,navigation,TabNav,default,"Horizontal tab navigation for section switching","{ ""tabs"": ""Tab[]"", ""defaultTab"": ""string"" }","Tabs, Badge",Tab-based navigation for switching between content sections,tab nav section switch horizontal
cmp-b2b-024,b2b-admin,forms,SearchInput,default,"Search input with debounce and clear button","{ ""placeholder"": ""string"", ""debounceMs"": 300, ""onSearch"": ""function"" }","Input, Button",Debounced search input for filtering data,search input filter debounce clear
cmp-b2b-025,b2b-admin,feedback,EmptyState,default,"Empty state display with icon, message, and action","{ ""icon"": ""lucide-name"", ""title"": ""string"", ""description"": ""string"", ""action"": ""Action"" }","Card, Button",Placeholder shown when data lists are empty,empty state placeholder no-data action
cmp-ht-001,hotel-travel,data-display,RoomCard,default,"Hotel room listing card with image, details, and booking CTA","{ ""image"": ""string"", ""title"": ""string"", ""rating"": ""number"", ""price"": ""Price"", ""amenities"": ""string[]"" }","Card, Badge, Button",Visual card for room listings in search results,room card listing image booking
cmp-ht-002,hotel-travel,data-display,RoomCard,compact,"Compact room card for list view display","{ ""image"": ""string"", ""title"": ""string"", ""price"": ""Price"", ""rating"": ""number"" }","Card, Badge",Condensed room card for high-density list views,room card compact list condensed
cmp-ht-003,hotel-travel,data-display,RoomGallery,default,"Multi-image gallery with lightbox view","{ ""images"": ""Image[]"", ""layout"": ""grid|carousel"" }","Card, Dialog",Photo gallery for room and hotel images,gallery room image lightbox photo
cmp-ht-004,hotel-travel,forms,DateRangePicker,default,"Check-in/check-out date range selector","{ ""minDate"": ""Date"", ""maxDate"": ""Date"", ""disabledDates"": ""Date[]"", ""format"": ""string"" }","DatePicker, Button",Dual-date picker for booking check-in/check-out selection,date range picker checkin checkout booking
cmp-ht-005,hotel-travel,data-display,PriceDisplay,default,"Formatted price with currency and per-night label","{ ""amount"": ""number"", ""currency"": ""string"", ""period"": ""night|stay"", ""originalPrice"": ""number"" }","Badge",Price display with optional strikethrough original price,price display currency night discount
cmp-ht-006,hotel-travel,data-display,PriceDisplay,comparison,"Price comparison showing multiple rate options","{ ""rates"": ""Rate[]"", ""highlighted"": ""string"" }","Card, Badge, Button",Side-by-side rate comparison display,price comparison rate plan tier
cmp-ht-007,hotel-travel,data-display,AvailabilityCalendar,default,"Monthly calendar showing room availability and rates","{ ""month"": ""Date"", ""availability"": ""DayAvailability[]"", ""onSelect"": ""function"" }","Card, Badge",Interactive calendar with availability indicators and pricing,calendar availability room date rate
cmp-ht-008,hotel-travel,data-display,AvailabilityCalendar,range,"Calendar with date range selection for booking","{ ""checkIn"": ""Date"", ""checkOut"": ""Date"", ""availability"": ""DayAvailability[]"" }","Card, Badge",Calendar optimized for selecting booking date ranges,calendar range booking date select
cmp-ht-009,hotel-travel,forms,GuestForm,default,"Guest information form for booking process","{ ""fields"": ""GuestField[]"", ""autofill"": true, ""validation"": ""required"" }","Input, Select, Checkbox, Button",Compact form for collecting guest details during booking,guest form booking info registration
cmp-ht-010,hotel-travel,forms,GuestForm,group,"Multi-guest form for room occupancy","{ ""maxGuests"": ""number"", ""fields"": ""GuestField[]"" }","Input, Select, Button, Separator",Form handling multiple guest entries for group bookings,guest form group multi occupancy
cmp-ht-011,hotel-travel,data-display,ReviewCard,default,"Guest review card with rating, text, and author info","{ ""author"": ""string"", ""rating"": ""number"", ""date"": ""Date"", ""text"": ""string"", ""avatar"": ""string"" }","Card, Avatar, Badge",Individual guest review display,review rating guest feedback card
cmp-ht-012,hotel-travel,data-display,ReviewCard,summary,"Aggregated review score summary with breakdown","{ ""overallRating"": ""number"", ""totalReviews"": ""number"", ""breakdown"": ""CategoryRating[]"" }","Card, Progress, Badge",Review score overview with category breakdowns,review summary rating aggregate breakdown
cmp-ht-013,hotel-travel,data-display,AmenityList,grid,"Grid layout showing hotel/room amenities with icons","{ ""amenities"": ""Amenity[]"", ""layout"": ""grid|list"" }","Badge",Icon grid display for amenities and room features,amenity feature icon grid list
cmp-ht-014,hotel-travel,layout,BookingSummary,sidebar,"Sticky booking summary with line items and total","{ ""items"": ""LineItem[]"", ""taxes"": ""Tax[]"", ""total"": ""Price"" }","Card, Separator, Button",Order summary sidebar showing booking cost breakdown,summary booking order total sticky sidebar
cmp-ht-015,hotel-travel,layout,BookingSummary,compact,"Compact inline booking summary for mobile","{ ""checkIn"": ""Date"", ""checkOut"": ""Date"", ""nights"": ""number"", ""total"": ""Price"" }","Card, Button",Condensed booking summary for mobile booking flow,summary booking compact mobile inline
cmp-ht-016,hotel-travel,navigation,BookingWizard,default,"Multi-step booking wizard with progress indicator","{ ""steps"": ""Step[]"", ""currentStep"": ""number"", ""allowSkip"": false }","Button, Progress, Separator",Step-by-step booking flow with progress tracking,wizard booking steps progress multi-step
cmp-ht-017,hotel-travel,navigation,BookingWizard,minimal,"Minimal step indicator for mobile booking","{ ""steps"": ""string[]"", ""currentStep"": ""number"" }","Progress, Badge",Simplified progress indicator for mobile booking flows,wizard booking minimal mobile progress
cmp-ht-018,hotel-travel,forms,SearchBar,hotel,"Hotel search bar with location, dates, and guests","{ ""destination"": ""string"", ""checkIn"": ""Date"", ""checkOut"": ""Date"", ""guests"": ""GuestCount"" }","Input, DatePicker, Select, Button",Full-featured hotel search bar for landing pages,search bar hotel destination date guest
cmp-ht-019,hotel-travel,forms,SearchBar,compact,"Compact search bar for header integration","{ ""destination"": ""string"", ""dates"": ""DateRange"" }","Input, Button",Condensed search bar for header navigation,search bar compact header inline
cmp-ht-020,hotel-travel,data-display,RatingStars,default,"Star rating display with score value","{ ""rating"": ""number"", ""maxRating"": 5, ""showValue"": true }",Badge,Visual star rating indicator,rating stars score review display
cmp-ht-021,hotel-travel,layout,HeroSection,default,"Full-width hero banner with search overlay","{ ""backgroundImage"": ""string"", ""title"": ""string"", ""subtitle"": ""string"" }","SearchBar, Button",Landing page hero section with embedded search,hero banner landing search image
cmp-ht-022,hotel-travel,data-display,MapView,default,"Interactive map showing hotel/property locations","{ ""center"": ""LatLng"", ""markers"": ""Marker[]"", ""zoom"": ""number"" }","Card, Badge",Map view for hotel location display,map location hotel property geographic
cmp-ht-023,hotel-travel,feedback,BookingConfirmation,default,"Booking confirmation display with details and next steps","{ ""bookingId"": ""string"", ""details"": ""BookingDetails"", ""nextSteps"": ""Step[]"" }","Card, Badge, Separator, Button",Post-booking confirmation page content,confirmation booking success details
cmp-ht-024,hotel-travel,forms,CurrencySelector,default,"Currency selection dropdown with flag and code","{ ""currencies"": ""Currency[]"", ""selected"": ""string"", ""onChange"": ""function"" }","Select, Badge",Multi-currency selector for international pricing,currency selector international price format
cmp-ht-025,hotel-travel,data-display,PropertyFeatures,default,"Property features list with icons and descriptions","{ ""features"": ""Feature[]"", ""layout"": ""grid|list"" }","Card, Separator",Feature list for hotel property details page,property feature detail list hotel
cmp-g-001,general,actions,Button,primary,"Primary action button","{ ""variant"": ""default"", ""size"": ""default"" }",n/a,Standard primary action button with brand color,button primary action cta
cmp-g-002,general,actions,Button,destructive,"Destructive/danger action button","{ ""variant"": ""destructive"", ""size"": ""default"" }",AlertDialog,Red-styled button for delete and destructive actions,button destructive danger delete
cmp-g-003,general,actions,Button,ghost,"Minimal ghost button for secondary actions","{ ""variant"": ""ghost"", ""size"": ""sm"" }",n/a,Transparent button for toolbar and inline actions,button ghost secondary minimal
cmp-g-004,general,feedback,AlertDialog,default,"Confirmation dialog for destructive actions","{ ""title"": ""string"", ""description"": ""string"", ""confirmLabel"": ""string"", ""variant"": ""destructive"" }","Button, Dialog",Modal confirmation dialog requiring user decision,dialog confirm destructive alert modal
cmp-g-005,general,feedback,Toast,default,"Temporary notification toast message","{ ""title"": ""string"", ""description"": ""string"", ""variant"": ""default|destructive"" }",n/a,Auto-dismissing notification for action feedback,toast notification feedback message
cmp-g-006,general,feedback,Alert,default,"Inline alert banner for important messages","{ ""variant"": ""default|destructive"", ""title"": ""string"", ""description"": ""string"" }",n/a,Static alert banner for page-level messages,alert banner message info warning error
cmp-g-007,general,navigation,Breadcrumb,default,"Navigation breadcrumb trail","{ ""items"": ""Crumb[]"", ""separator"": ""/"" }",n/a,Hierarchical navigation breadcrumb,breadcrumb navigation hierarchy path
cmp-g-008,general,overlay,Dialog,default,"General purpose modal dialog","{ ""title"": ""string"", ""description"": ""string"", ""size"": ""sm|md|lg"" }","Button",Modal dialog for forms and detail views,dialog modal popup overlay
cmp-g-009,general,feedback,LoadingSkeleton,default,"Content loading skeleton placeholder","{ ""variant"": ""text|card|table|avatar"", ""count"": ""number"" }",Skeleton,Animated placeholder shown during content loading,skeleton loading placeholder shimmer
cmp-g-010,general,feedback,EmptyState,default,"Generic empty state with illustration and action","{ ""icon"": ""lucide-name"", ""title"": ""string"", ""description"": ""string"", ""action"": ""Action"" }","Card, Button",Placeholder for empty data states,empty state no-data placeholder illustration
